Designator,Mid X,Mid Y,Rotation,Layer
H1,101.966573,-41.995044,0.0,top
H2,187.966573,-41.995044,0.0,top
H3,187.966573,-127.995044,0.0,top
H4,101.966573,-127.995044,0.0,top
J1,145.0,-40.1,180.0,bottom
